Name,Owner,Description,Url,Address,Trainstop,Distance in m,geometry
Knockando Distillery,Diageo plc,Speyside Malt,https://www.malts.com/en-gb/our-whisky-collection/knockando/,,Elgin,21907,POINT (-3.3404865000000035 57.446839299999986)
Tamdhu Distillery,Ian Macleod Distillers ,Speyside Malt,https://www.tamdhu.com/,,Elgin,21909,POINT (-3.357968400000003 57.447790899999994)
Isle of Raasay Distillery,R&B Distillers ,Highland Malt,https://raasaydistillery.com/,,Kyle of Lochalsh,23322,POINT (-6.072986500000005 57.3574614)
Tomintoul Distillery,Angus Dundee Distillers plc,Speyside Malt,http://www.tomintoulwhisky.com/,,Carrbridge,24278,POINT (-3.4302788000000053 57.3086135)
Glenfarclas Distillery,J & G Grant,Speyside Malt,https://glenfarclas.com/,,Elgin,24587,POINT (-3.3103447000000026 57.42215569999998)
Ardnamurchan Distillery,Adelphi Distillery Ltd,Highland Malt,https://www.adelphidistillery.com/,,Arisaig,24608,POINT (-5.951167500000003 56.70043019999999)
Cragganmore Distillery,Diageo plc,Speyside Malt,https://www.malts.com/en-gb/distilleries/cragganmore?type=redirect,,Forres,25893,POINT (-3.3941072000000037 57.41426840000001)
Ballindalloch Distillery,Ballindalloch Distillery LLP,Speyside Malt,https://www.ballindallochdistillery.com/,,Elgin,26394,POINT (-3.3682224000000036 57.40788649999999)
Lochranza Distillery,Isle of Arran Distillers Ltd,Highland Malt,https://www.arranwhisky.com/,,West Kilbride,26757,POINT (-5.270429600000004 55.65597030000001)
Tormore Distillery,Chivas Brothers ,Speyside Malt,http://www.tormoredistillery.com/,,Forres,27903,POINT (-3.409987000000004 57.3883687)
MacDuff Distillery,John Dewar & Sons ,Highland Malt,,,Huntly,28233,POINT (-2.5120136000000044 57.6544342)
The Glenlivet Distillery,Chivas Brothers Ltd,Speyside Malt,https://www.theglenlivet.com/en-UK,,Carrbridge,30416,POINT (-3.3385562000000046 57.3434444)
Tamnavulin Distillery,Whyte & Mackay ,Speyside Malt,https://www.tamnavulinwhisky.com/the-distillery/,,Carrbridge,31803,POINT (-3.3068213000000055 57.318985600000005)
Lagg Distillery,Isle of Arran Distillery Ltd,Highland Malt,http://www.laggwhisky.com/,,Girvan,33486,POINT (-5.236390000000003 55.45073)
Bladnoch Distillery,Bladnoch Distillery Ltd,Lowland Malt,https://bladnoch.com/,,Barrhill,33501,POINT (-4.460665700000004 54.859455)
Braeval Distillery,Chivas Brothers Ltd,Speyside Malt,,,Huntly,34058,POINT (-3.2244219000000043 57.2575212)
Ncn'ean Distillery,Drimmin Distillery Company ,Highland Malt,https://www.ncnean.com/,,Oban,34138,POINT (-5.9259324000000015 56.5890141)
Tobermory Distillery,Distell International ,Highland Malt,http://tobermorydistillery.com/,,Arisaig,35550,POINT (-6.068612600000002 56.61941879999999)
Talisker Distillery,Diageo plc ,Highland Malt,https://www.malts.com/en-row/distilleries/talisker/,,Kyle of Lochalsh,38685,POINT (-6.3533314000000045 57.3006981)
Royal Lochnagar Distillery,Diageo plc ,Highland Malt,https://www.malts.com/en-row/distilleries/royal-lochnagar/,,Aviemore,40788,POINT (-3.2228232000000037 57.02892859999999)
Scapa Distillery,Chivas Brothers ,Highland Malt,http://scapawhisky.com/,,Thurso,51481,POINT (-3.0020706000000037 58.96327970000001)
Glen Scotia Distillery,Loch Lomond Group,Campbeltown,https://www.glenscotia.com/,,Girvan,52087,POINT (-5.604122000000003 55.429670800000004)
Springbank Distillery,J & A Mitchell & Co ,Campbeltown,http://springbank.scot/,,Girvan,52245,POINT (-5.6097869 55.42559219999999)
Glengyle Distillery,J & A Mitchell & Co,Campbeltown,https://kilkerran.scot/,,Girvan,52253,POINT (-5.6092755000000025 55.4264836)
Highland Park Distillery,Edrington,Highland Malt,https://www.highlandparkwhisky.com/distillery/,,Thurso,53577,POINT (-2.950727400000003 58.96661100000001)
Isle of Jura Distillery,Whyte and Mackay Ltd,Highland Malt,https://jurawhisky.com/en/distillery/,,Dunoon,65804,POINT (-5.954125000000001 55.83253849999999)
Bunnahabhain Distillery,Distell International Ltd,Islay Malt,https://bunnahabhain.com/,,Oban,71518,POINT (-6.1265722000000045 55.8830471)
Ardnahoe Distillery,Hunter Laing & Co Ltd,Islay Malt,https://ardnahoedistillery.com/,,Oban,72320,POINT (-6.129338200000002 55.8754026)
Caol Ila Distillery,Diageo plc,Islay Malt,https://www.malts.com/en-row/distilleries/caol-ila/,,Oban,73429,POINT (-6.112775900000002 55.8573766)
Ardbeg Distillery,Glenmorangie Company Ltd,Islay Malt,https://www.ardbeg.com/en-gb,Isle of Islay,West Kilbride,79486,POINT (-6.110229800000003 55.6399588)
Lagavulin Distillery,Diageo plc,Islay Malt,https://www.malts.com/en-row/distilleries/lagavulin/,,West Kilbride,81182,POINT (-6.136254700000006 55.6337832)
Laphroaig Distillery,Beam Suntory,Islay Malt,https://www.laphroaig.com/,,West Kilbride,82016,POINT (-6.149674300000003 55.63450300000001)
Bowmore Distillery,Beam Suntory,Islay Malt,https://www.bowmore.com/,,Dunoon,88299,POINT (-6.2908212000000026 55.7566232)
Kilchoman Distillery,Kilchoman Distillery Co Ltd,Islay Malt,https://kilchomandistillery.com/,,Oban,89367,POINT (-6.397470200000001 55.7975053)
Bruichladdich Distillery,Bruichladdich Distillery Co Ltd,Islay Malt,https://www.bruichladdich.com/,,Oban,89785,POINT (-6.359757900000003 55.7757406)
Isle of Harris Distillery,Isle of Harris Distillers Ltd,Highland Malt,https://www.harrisdistillery.com/,,Duirinish,92641,POINT (-6.805557400000004 57.897967600000015)
Abhainn Dearg Distillery,Abhainn Dearg Distillery ,Highland Malt,https://www.abhainndearg.co.uk/,,Plockton,123371,POINT (-7.0501074000000035 58.15716119999999)
